NRO,CODIGO,NOMBRE DE CENTRO ESCOLAR,TAMAÑO,MATRICULA,ITEM,TIPO,CATEGORIA,CANTIDAD
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,PANTALON AZUL,T8,4
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T10,54
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T10,66
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON AZUL,T10,8
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T10,8
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,PANTALON AZUL,T10,4
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T12,90
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,PANTALON AZUL,T12,70
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON AZUL,T12,16
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T12,28
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,PANTALON AZUL,T12,14
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T14,72
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T14,48
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,PANTALON AZUL,T14,8
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON AZUL,T14,24
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T14,38
25,86330,CENTRO ESCOLAR CANTÓN EL JUTILLO,PEQUEÑA,62,UNIFORMES,PANTALON AZUL,T14,2
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,PANTALON AZUL,T14,8
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T14,1
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T16,78
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T16,24
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,PANTALON AZUL,T16,16
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON AZUL,T16,8
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T16,44
29,88138,"ESCUELA DE EDUCACIÓN ESPECIAL CATÓLICA ""PADRE VITO GUARATO""",PEQUEÑA,59,UNIFORMES,PANTALON AZUL,T16,14
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T16,6
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T18,70
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T18,148
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,PANTALON AZUL,T18,6
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON AZUL,T18,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T18,62
20,70071,"CENTRO ESCOLAR CASERÍO LOS PLANES, CANTÓN JOYA GRANDE",PEQUEÑA,46,UNIFORMES,PANTALON AZUL,T18,6
22,70094,"CENTRO ESCOLAR CASERÍO COMUNIDAD LOS HEROES, CANTÓN LAS FLORES",PEQUEÑA,51,UNIFORMES,PANTALON AZUL,T18,2
24,86326,"CENTRO ESCOLAR CASERÍO LA LOMA, CANTÓN EL TRANSITO 1",PEQUEÑA,33,UNIFORMES,PANTALON AZUL,T18,6
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,PANTALON AZUL,T18,2
29,88138,"ESCUELA DE EDUCACIÓN ESPECIAL CATÓLICA ""PADRE VITO GUARATO""",PEQUEÑA,59,UNIFORMES,PANTALON AZUL,T18,10
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T18,13
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T20,42
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,PANTALON AZUL,T20,80
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,PANTALON AZUL,T20,6
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON AZUL,T20,6
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T20,52
25,86330,CENTRO ESCOLAR CANTÓN EL JUTILLO,PEQUEÑA,62,UNIFORMES,PANTALON AZUL,T20,4
29,88138,"ESCUELA DE EDUCACIÓN ESPECIAL CATÓLICA ""PADRE VITO GUARATO""",PEQUEÑA,59,UNIFORMES,PANTALON AZUL,T20,4
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T20,9
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T22,34
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,PANTALON AZUL,T22,80
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T22,68
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T22,36
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,PANTALON AZUL,T22,2
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T22,20
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T1X,10
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,PANTALON AZUL,T1X,50
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T1X,58
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T1X,16
22,70094,"CENTRO ESCOLAR CASERÍO COMUNIDAD LOS HEROES, CANTÓN LAS FLORES",PEQUEÑA,51,UNIFORMES,PANTALON AZUL,T1X,2
23,86325,"CENTRO ESCOLAR ""CANTON TIERRA BLANCA""",PEQUEÑA,13,UNIFORMES,PANTALON AZUL,T1X,2
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T1X,7
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,PANTALON AZUL,T2X,8
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,PANTALON AZUL,T2X,50
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON AZUL,T2X,40
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON AZUL,T2X,38
29,88138,"ESCUELA DE EDUCACIÓN ESPECIAL CATÓLICA ""PADRE VITO GUARATO""",PEQUEÑA,59,UNIFORMES,PANTALON AZUL,T2X,2
30,90055,"CENTRO ESCOLAR ""4 DE OCTUBRE 2007""",PEQUEÑA,47,UNIFORMES,PANTALON AZUL,T2X,4
13,11611,"ESCUELA DE EDUCACION PARVULARIA ""JORGE LARDE"".",PEQUEÑA,47,UNIFORMES,FALDA AZUL,T4,2
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T6,4
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T6,70
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T6,10
24,86326,"CENTRO ESCOLAR CASERÍO LA LOMA, CANTÓN EL TRANSITO 1",PEQUEÑA,33,UNIFORMES,FALDA AZUL,T6,2
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T8,8
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T8,60
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA AZUL,T8,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T8,16
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,FALDA AZUL,T8,6
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T10,34
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA AZUL,T10,10
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T10,8
22,70094,"CENTRO ESCOLAR CASERÍO COMUNIDAD LOS HEROES, CANTÓN LAS FLORES",PEQUEÑA,51,UNIFORMES,FALDA AZUL,T10,2
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,FALDA AZUL,T10,2
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T12,92
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T12,100
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T12,140
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,FALDA AZUL,T12,6
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA AZUL,T12,14
17,70018,"CENTRO ESCOLAR CASERÍO EL VERDIO, CANTÓN SAN ANTONIO GRANDE",PEQUEÑA,18,UNIFORMES,FALDA AZUL,T12,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T12,60
21,70088,"CENTRO ESCOLAR ""DOCTORA MATILDE ELENA LÓPEZ"".",PEQUEÑA,40,UNIFORMES,FALDA AZUL,T12,1
22,70094,"CENTRO ESCOLAR CASERÍO COMUNIDAD LOS HEROES, CANTÓN LAS FLORES",PEQUEÑA,51,UNIFORMES,FALDA AZUL,T12,6
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,FALDA AZUL,T12,6
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T14,84
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T14,200
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T14,80
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,FALDA AZUL,T14,12
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA AZUL,T14,26
17,70018,"CENTRO ESCOLAR CASERÍO EL VERDIO, CANTÓN SAN ANTONIO GRANDE",PEQUEÑA,18,UNIFORMES,FALDA AZUL,T14,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T14,84
20,70071,"CENTRO ESCOLAR CASERÍO LOS PLANES, CANTÓN JOYA GRANDE",PEQUEÑA,46,UNIFORMES,FALDA AZUL,T14,2
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,FALDA AZUL,T14,4
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T16,82
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T16,200
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,FALDA AZUL,T16,10
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA AZUL,T16,10
17,70018,"CENTRO ESCOLAR CASERÍO EL VERDIO, CANTÓN SAN ANTONIO GRANDE",PEQUEÑA,18,UNIFORMES,FALDA AZUL,T16,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T16,8
21,70088,"CENTRO ESCOLAR ""DOCTORA MATILDE ELENA LÓPEZ"".",PEQUEÑA,40,UNIFORMES,FALDA AZUL,T16,1
26,86396,CENTRO ESCOLAR CANTÓN SUCHINANGO,PEQUEÑA,45,UNIFORMES,FALDA AZUL,T16,4
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T18,70
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T18,200
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T18,50
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,FALDA AZUL,T18,6
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T18,18
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T20,24
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T20,150
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T20,50
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,FALDA AZUL,T20,4
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA AZUL,T20,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T20,16
22,70094,"CENTRO ESCOLAR CASERÍO COMUNIDAD LOS HEROES, CANTÓN LAS FLORES",PEQUEÑA,51,UNIFORMES,FALDA AZUL,T20,2
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,FALDA AZUL,T20,2
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T22,20
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T22,150
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T22,68
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T22,12
28,88103,"CENTRO ESCOLAR CATÓLICO ""NUESTRA SEÑORA DE LOS DOLORES”.",PEQUEÑA,49,UNIFORMES,FALDA AZUL,T22,2
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,UNIFORMES,FALDA AZUL,T1X,22
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T1X,80
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T1X,10
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T1X,4
4,13713,"CENTRO ESCOLAR ""URBANIZACION LAS MARGARITAS "" ",GRANDE,1509,UNIFORMES,FALDA AZUL,T2X,80
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA AZUL,T2X,10
15,11669,"CENTRO ESCOLAR ""GENERAL RAMON BELLOSO"" ",MEDIANA,300,UNIFORMES,FALDA AZUL,T2X,4
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA AZUL,T2X,4
21,70088,"CENTRO ESCOLAR ""DOCTORA MATILDE ELENA LÓPEZ"".",PEQUEÑA,40,UNIFORMES,FALDA AZUL,T2X,1
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA BEIGE,T12,10
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T12,26
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T14,36
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA BEIGE,T14,6
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T14,22
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T16,110
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA BEIGE,T16,8
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T16,26
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T18,170
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA BEIGE,T18,4
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T18,4
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T20,90
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,FALDA BEIGE,T20,2
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T20,4
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T22,50
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T22,6
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T1X,12
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T1X,2
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,FALDA BEIGE,T2X,12
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,FALDA BEIGE,T2X,2
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON BEIGE,T16,16
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON BEIGE,T16,12
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON BEIGE,T18,22
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON BEIGE,T18,14
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON BEIGE,T20,184
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON BEIGE,T20,32
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON BEIGE,T20,10
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON BEIGE,T22,140
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON BEIGE,T22,8
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON BEIGE,T22,10
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON BEIGE,T1X,16
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON BEIGE,T1X,6
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,UNIFORMES,PANTALON BEIGE,T1X,16
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,UNIFORMES,PANTALON BEIGE,T2X,16
16,11763,"COMPLEJO EDUCATIVO ""DOCTOR ORLANDO DE SOLA"".",GRANDE,1445,UNIFORMES,PANTALON BEIGE,T2X,10
7,11559,"ESCUELA DE EDUCACION PARVULARIA ""SAN JACINTO""",PEQUEÑA,32,ZAPATOS,ZAPATOS,23,19
10,11576,"ESCUELA DE EDUCACION PARVULARIA ""COLONIA CENTRO AMERICA""",PEQUEÑA,65,ZAPATOS,ZAPATOS,23,3
11,11604,"SAN SALVADOR SAN SALVADOR 11604 ESCUELA DE EDUCACION PARVULARIA ""PROFESORA LUISA MORAN CASTRO"" ",PEQUEÑA,76,ZAPATOS,ZAPATOS,23,5
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,ZAPATOS,ZAPATOS,23,1
10,11576,"ESCUELA DE EDUCACION PARVULARIA ""COLONIA CENTRO AMERICA""",PEQUEÑA,65,ZAPATOS,ZAPATOS,24,5
11,11604,"SAN SALVADOR SAN SALVADOR 11604 ESCUELA DE EDUCACION PARVULARIA ""PROFESORA LUISA MORAN CASTRO"" ",PEQUEÑA,76,ZAPATOS,ZAPATOS,24,8
12,11607,"ESCUELA DE EDUCACION PARVULARIA ""PROFESORA MARIA ESCOBAR GRANILLO""",PEQUEÑA,43,ZAPATOS,ZAPATOS,24,4
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,ZAPATOS,ZAPATOS,24,8
1,10162,ESCUELA DE EDUCACION PARVULARIA SAN JACINTO,PEQUEÑA,19,ZAPATOS,ZAPATOS,25,7
7,11559,"ESCUELA DE EDUCACION PARVULARIA ""SAN JACINTO""",PEQUEÑA,32,ZAPATOS,ZAPATOS,25,1
10,11576,"ESCUELA DE EDUCACION PARVULARIA ""COLONIA CENTRO AMERICA""",PEQUEÑA,65,ZAPATOS,ZAPATOS,25,1
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,ZAPATOS,ZAPATOS,25,8
2,11345,"CENTRO ESCOLAR ""BENJAMIN BLOOM",GRANDE,1015,ZAPATOS,ZAPATOS,26,3
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,ZAPATOS,ZAPATOS,26,25
6,11554,"ESCUELA DE EDUCACION PARVULARIA "" LAS ABEJITAS",PEQUEÑA,53,ZAPATOS,ZAPATOS,26,2
12,11607,"ESCUELA DE EDUCACION PARVULARIA ""PROFESORA MARIA ESCOBAR GRANILLO""",PEQUEÑA,43,ZAPATOS,ZAPATOS,26,5
18,70026,"COMPLEJO EDUCATIVO ""SAN BARTOLOMÉ APÓSTOL""",GRANDE,1505,ZAPATOS,ZAPATOS,26,6
